Old Title,Abstract ,,,,,,,,,,,,Title
Reviews in Clinical Gerontology,,,,,,,,,,,,,dengineering
Epilepsy and Behavior,Lamotrigine; Long-term retention; Plasma levels; Side effects of antiepileptic drugs,,,,,,,,,,,,dengineering
"Psychology of Aesthetics, Creativity, and the Arts",aesthetic evaluation; design experience; digital cameras; positive affect induction; think-aloud procedure,,,,,,,,,,,,dsocial science
European Journal of Neurology,Cognition; Parkinson's disease; Quality of life,,,,,,,,,,,,dsocial science
Experimental Brain Research,Arm pointing; Human; Motor control; Reaching movements; Sensorimotor integration; Spatial accuracy; Spatial representation,,,,,,,,,,,,d-lifescience
Acta Neuropsychiatrica,Dementia; Geriatric neuropsychiatry; Memory; Neuropsychology; Schizophrenia,,,,,,,,,,,,dmedicine
Biological Psychology,Attention; Brain mechanisms; Emotional expression; Face processing; Perception,,,,,,,,,,,,dmedicine
Schizophrenia Research,Diagnosis; Neuropsychology; Schizoaffective disorder,,,,,,,,,,,,dmedicine
Journal of Clinical Neurophysiology,Cognition; Magnetoencephalography; Naming,,,,,,,,,,,,dmedicine
Cognition,Egocentric viewpoint; Intrinsic frame of reference; Scene recognition; Spatial memory; Visual memory,,,,,,,,,,,,dengineering
Schizophrenia Research,Functional status; Neurocognition; Symptoms,,,,,,,,,,,,dengineering
Annals of Neurology,,,,,,,,,,,,,dengineering
Journal of Child Neurology,Becker muscular dystrophy; Cognition; Dystrophin,,,,,,,,,,,,dsocial science
International Journal of Neuropsychopharmacology,Antipsychotics; Attention; Cognition; Schizophrenia,,,,,,,,,,,,dsocial science
Pediatric Blood and Cancer,CNS tumors; Late effects of cancer treatment; Pediatric oncology; Psychology; Quality of life; Radiation therapy,,,,,,,,,,,,d-lifescience
Journal of Autism and Developmental Disorders,Autism; Language; Perception; Semantics; Speech,,,,,,,,,,,,dmedicine
Schizophrenia Research,Brain mapping; Functional imaging; Schizophrenia; Semantic memory; Verbal fluency,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Clinical Neuropsychologist,Cognition; Illiteracy; Selective attention; Stroop test,,,,,,,,,,,,dmedicine
Clinical Neuropsychologist,Assessment; Cognitive model; Gestures; Limb apraxia,,,,,,,,,,,,dengineering
Behavioural Brain Research,Cognitive impairment; Methotrexate; Neurogenesis; Neurotoxicity; Rat,,,,,,,,,,,,dengineering
Neuroscience Letters,Children; Conservation; Event-related potentials; Frontal lobe,,,,,,,,,,,,dengineering
Neuropsychologia,Aphasia; Category-specific deficits; Numerals,,,,,,,,,,,,dsocial science
Neuropsychologia,Blindsight; Cerebral cortex; Cognition; Consciousness; Human; Motor control; Occipital; Retinotectal; Vision,,,,,,,,,,,,dsocial science
Disability and Rehabilitation,Assessment; Cognition; Memory,,,,,,,,,,,,d-lifescience
Neuropsychologia,Brain polarization; Electrical stimulation; Linguistic processing; Naming; Speech; tDCS,,,,,,,,,,,,dmedicine
Neuropsychologia,Attention; Creativity; Hemispheric asymmetry; Insight; Problem solving; Resting state,,,,,,,,,,,,dmedicine
Neuropsychologia,Autism; Frontal cortex; Limbic; Neuropsychology; Reversal learning; Spatial working memory,,,,,,,,,,,,dmedicine
Neuropsychologia,Amygdala; Anxiety; Autism; Emotion; Eye-tracking; Social cognition,,,,,,,,,,,,dmedicine
Neuropsychologia,Category-specific deficits; Epilepsy surgery; Naming deficits; Semantic memory; Temporal lobe epilepsy,,,,,,,,,,,,dengineering
Neuroscience Letters,Elliptic motions; Isochrony principle; Motor-perceptual interactions; Simulation; Unnatural kinematics; Visual preference,,,,,,,,,,,,dengineering
Neuroscience Letters,Action observation; Functional magnetic resonance imaging; Gaze direction; Humans; Inferior frontal gyrus; Social cognition,,,,,,,,,,,,dengineering
Neuroscience Letters,ERP; Posttarget nontarget; Rare target,,,,,,,,,,,,dsocial science
Journal of Neuroscience,Acetylcholine; Cognition; EEG; Electrical synapses; Gap junctions; Lateral geniculate nucleus; Memory; Oscillations,,,,,,,,,,,,dsocial science
Brain Research,Anterior cingulate cortex; Conflict processing; ERPs; N2; P3; Response selection,,,,,,,,,,,,d-lifescience
Brain Research,Attention; Emotion; Event-related potentials; Late positive potential; Pictures,,,,,,,,,,,,dmedicine
Psychiatry Research,Emotion expression; Emotion-recognition deficits; Facial emotion; Neuropsychological function; Prosody; Psychosis,,,,,,,,,,,,dmedicine
Neuropsychologia,Atrophy; Memory; Mild cognitive impairment; Voxel-based morphometry,,,,,,,,,,,,dmedicine
Neuropsychologia,Visual attention; Visual event-related potentials,,,,,,,,,,,,dmedicine
Behavioural Brain Research,ATD; Learning-set; Perseveration; Serotonin; Spatial,,,,,,,,,,,,dengineering
Proceedings of the Royal Society B: Biological Sciences,Avian cognition; Cache protection; Chickadee; Cognition; Food caching,,,,,,,,,,,,dengineering
Journal of Safety Research,Driving Assessment; Driving Evaluation; Driving Performance; Driving Rehabilition; Older Drivers; Predictive Validity,,,,,,,,,,,,dengineering
Behavioral and Brain Functions,,,,,,,,,,,,,dsocial science
Journal of Pediatric Psychology,Children's cognitive and behavioral functioning; Organophosphates; Pesticides exposure,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
Cognition,Embodied cognition; Lexical processing; Visual word recognition,,,,,,,,,,,,dmedicine
Rossi?skii fiziologicheski? zhurnal imeni I.M. Sechenova / Rossi?skaia akademiia nauk,,,,,,,,,,,,,dmedicine
Experimental Brain Research,Human; Mental rotation; Spatial cognition; Strategy; Subjective visual vertical,,,,,,,,,,,,dmedicine
Psychophysiology,Cognition; Emotion; Memory; Old/new effect; Pupillary response,,,,,,,,,,,,dmedicine
Neurocomputing,Accumulative computation; Algorithmic lateral inhibition; Artificial Intelligence; Computer vision; Neurophysiological models; Visual selective attention,,,,,,,,,,,,dengineering
Vision Research,Cognitive load; Optic flow; Traveled distances; Virtual reality,,,,,,,,,,,,dengineering
Cognition and Emotion,,,,,,,,,,,,,dengineering
Memory and Cognition,,,,,,,,,,,,,dsocial science
Journal of Physiology Paris,Dynamic action; Embodied cognition; Frontal operculum (FO); Lexical retrieval; Mirror neuron system; Naming; Posterior middle temporal-occipital (MT); Premotor; Representational momentum; Verbs,,,,,,,,,,,,dsocial science
 R.A.,,,,,,,,,,,,,d-lifescience
Journal of Psychiatry and Neuroscience,Attention; Eye movements; Facial expression; schizophrenia; Social perception; Visual perception,,,,,,,,,,,,dmedicine
British Journal of Psychiatry,,,,,,,,,,,,,dmedicine
Applied Neuropsychology,Alcohol abuse; Cognitive disorders; Dementia; Mercury; Mercury toxicity,,,,,,,,,,,,dmedicine
Cortex,Avian brain; Bird; Hemisphere; Lateralization; Quail; Social cognition,,,,,,,,,,,,dmedicine
Optometry,Cell phone; COVD-QOL; Driving; Visual fields; Visual symptoms,,,,,,,,,,,,dengineering
Medical Hypotheses,,,,,,,,,,,,,dengineering
Journal of Psychopharmacology,Benzodiazepines; Body sway; Memory; MK-0343; Saccadic eye movements; Sedation; Selective partial GABA agonist,,,,,,,,,,,,dengineering
Laterality,,,,,,,,,,,,,dsocial science
Developmental Psychology,cognitive development; global-local processing; hierarchical stimuli; object identification,,,,,,,,,,,,dsocial science
Spatial Vision,Art; Efficient coding; Esthetics; Resonance; Sparse coding,,,,,,,,,,,,d-lifescience
Vision Research,Active vision; Change blindness; Eye movements; Scene perception; Vision; Visual cognition; Visual stability,,,,,,,,,,,,dmedicine
Human Brain Mapping,Anterior insula; Control; Encoding; Executive; fMRI; Fusiform face area; Parahippocampal place area; Prefrontal; Recognition; Ventrolateral,,,,,,,,,,,,dmedicine
Journal of Visual Communication and Image Representation,Contour decomposition; Energy model; Illusion; Illusory contours; Kinks; Level-set method; Local stability; Real and imaginary; Spans; Supervision; Turns,,,,,,,,,,,,dmedicine
HIP International,Cerebral emboli; Cognitive function; Hip arthroplasty,,,,,,,,,,,,dmedicine
Schizophrenia Research,Anhedonia; Emotional experience; Emotional processing; Schizophrenia,,,,,,,,,,,,dengineering
Journal of Clinical and Experimental Neuropsychology,,,,,,,,,,,,,dengineering
Environmental Health Perspectives,Acute exposure; Cognitive; Hydrogen sulfide; Sensory; Symptoms,,,,,,,,,,,,dengineering
Alzheimer Disease and Associated Disorders,Alzheimer disease; Amnestic mild cognitive impairment; Triflusal,,,,,,,,,,,,dsocial science
Ergonomics,,,,,,,,,,,,,dsocial science
Experimental Brain Research,,,,,,,,,,,,,d-lifescience
Journal of Neurology,Alzheimer's disease; Cerebrospinal fluid; Domain specificity; Episodic memory; Mild cognitive impairment; Neuropsychology; Tau protein,,,,,,,,,,,,dmedicine
Developmental Science,,,,,,,,,,,,,dmedicine
Experimental Brain Research,,,,,,,,,,,,,dmedicine
Research in Developmental Disabilities,Adaptive behavior; Cognition; Mental retardation; Supported employment,,,,,,,,,,,,dmedicine
Journal of NeuroVirology,Cognition; HIV I clade C; Natural history,,,,,,,,,,,,dengineering
International Journal of Knowledge Management,Knowledge; Knowledge management; Organizational memory; Topic maps,,,,,,,,,,,,dengineering
European Journal of Paediatric Neurology,Cerebral palsy; Norway; Prevalence; SCPE; Severity; Subtype,,,,,,,,,,,,dengineering
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dsocial science
Psychopharmacology,Alertness; Anxiety; Blood pressure; Caffeine; Coffee; Cognition; Mood; Tea; Theanine,,,,,,,,,,,,dsocial science
Multiple Sclerosis,Cognition; Driving; Multiple sclerosis,,,,,,,,,,,,d-lifescience
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,Cognition; Driving cessation; Older driver; Speed of processing; Vision,,,,,,,,,,,,dmedicine
Experimental Aging Research,,,,,,,,,,,,,dmedicine
Neuroscience and Behavioral Physiology,Cognitive set; Coherence of potentials; Descending influences; Internal states; Prefrontal cortex; Recognition of facial expressions; Temporal cortex; Unconsciousness,,,,,,,,,,,,dmedicine
Behaviour Research and Therapy,Anxiety; Attentional capture; Children; Fear relevance; Visual search,,,,,,,,,,,,dmedicine
Animal Cognition,Capuchin monkeys; Cebus apella; Conservation; Quantity judgments,,,,,,,,,,,,dengineering
Journal of Family Practice,,,,,,,,,,,,,dengineering
Cognition,Attention capture; Auditory distraction; Electrophysiology; Novelty detection; Oddball task,,,,,,,,,,,,dengineering
Neuropsychologia,Autism spectrum disorder; Hippocampus; Medial temporal lobe memory system; Task support hypothesis,,,,,,,,,,,,dsocial science
Experimental Brain Research,Erythropoietin; Executive function; fMRI; Healthy volunteers,,,,,,,,,,,,dsocial science
Nature Neuroscience,,,,,,,,,,,,,d-lifescience
Applied Neuropsychology,Processing speed; Speed-accuracy trade-off; Traumatic brain injury; Volition,,,,,,,,,,,,dmedicine
NeuroReport,Automatic processing; Chinese words; Event-related potentials; N400; Stimulus degradation,,,,,,,,,,,,dmedicine
American Journal of Psychiatry,,,,,,,,,,,,,dmedicine
Cognitive Neuropsychiatry,,,,,,,,,,,,,dmedicine
Journal of Health Psychology,Health cognitions; Health information processing; Health problems; Stroop task,,,,,,,,,,,,dengineering
Journal of General Psychology,Aging; Prospective memory; Prospective memory interference effect; Time processing ability,,,,,,,,,,,,dengineering
Journal of the International Neuropsychological Society,Arousal; Cancellation tests; Neuropsychological assessment; Rehabilitation; Stroke; Visual attention,,,,,,,,,,,,dengineering
Journal of Clinical and Experimental Neuropsychology,Cognitive function; Local anaesthetics; Opiates; PCA-IV; PCEA; Postoperative pain,,,,,,,,,,,,dsocial science
Quarterly Journal of Experimental Psychology,Embodied cognition; Language comprehension; Motor planning; Simulation; Theory of Event Coding,,,,,,,,,,,,dsocial science
Behaviour Research and Therapy,Attention; Metacognition; OCD,,,,,,,,,,,,d-lifescience
NeuroReport,(FFA) the fusiform face area; (OFA) the occipital face area; Face processing; Functional MRI; Top-down perception,,,,,,,,,,,,dmedicine
Neuropsychologia,Area TE; Faces; FMRI; Inferior temporal cortex; Inferotemporal cortex,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,Action representations; Embodied cognition; Sentence comprehension,,,,,,,,,,,,dmedicine
Experimental Brain Research,Eye movements; Movement preparation; Movement sequences; Saccade sequences; Saccades; Selection-for-action; Visual attention,,,,,,,,,,,,dmedicine
Hormones and Behavior,Digit ratios; Human figures; Mental rotation; Sex differences,,,,,,,,,,,,dengineering
Cognition and Emotion,,,,,,,,,,,,,dengineering
Experimental Brain Research,,,,,,,,,,,,,dengineering
Revista medico-chirurgical?? a Societ???ii de Medici ??i Naturali??ti din Ia??i,,,,,,,,,,,,,dsocial science
Rivista di Psichiatria,Anxiety disorders; Emotion recognition; P300; Schizophrenia,,,,,,,,,,,,dsocial science
Journal of the International Neuropsychological Society,Adult; Aging; Cognition; Education; Memory Disorders; Neuropsychological tests,,,,,,,,,,,,d-lifescience
Biomedical Signal Processing and Control,Cardiopulmonary assessment; Control; Gait rehabilitation; Rehabilitation robotics; Spinal cord injury,,,,,,,,,,,,dmedicine
Acta Psychologica,Dual-process; Episodic trace hypothesis; Familiarity; Old-new discrimination; Perceptual familiarity; Picture recognition; Recognition memory; Recognition without identification; Recognition-familiarity,,,,,,,,,,,,dmedicine
Infant Behavior and Development,Early action understanding; Goal-directed actions; Infants; Maternal interaction style,,,,,,,,,,,,dmedicine
Visual Cognition,,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,Embodied cognition; Language processing; Mirror neurons; Motor resonance; Perception and action,,,,,,,,,,,,dengineering
Cortex,Ataxia; Cerebellum; Cognition; Gillespie syndrome; Partial aniridia,,,,,,,,,,,,dengineering
European Psychiatry,Chronic illness; Cognition; Emotion; Schizophrenia,,,,,,,,,,,,dengineering
Progress in Neuro-Psychopharmacology and Biological Psychiatry,Cognition; Methamphetamine; Priming; Selective attention; Stimulant abuse; Substance abuse,,,,,,,,,,,,dsocial science
Experimental Aging Research,,,,,,,,,,,,,dsocial science
Cognition,Bilingualism; Word production,,,,,,,,,,,,d-lifescience
Biological Psychiatry,Emotion; face recognition; oxytocin; peptide; social cognition,,,,,,,,,,,,dmedicine
Cerebral Cortex,Default mode; Narrative speech comprehension,,,,,,,,,,,,dmedicine
Cognition,Children's intuitions; Choice updating; Evolutionary psychology; Posterior evaluation; Probabilistic reasoning,,,,,,,,,,,,dmedicine
Cognition,Axes; Inhibition; Reference frames; Selective access; Spatial language; Spatial terms,,,,,,,,,,,,dmedicine
Neuropsychologia,Episodic memory; Face stimuli; fMRI; Monitoring; Selection; Working memory,,,,,,,,,,,,dengineering
Zhonghua er ke za zhi. Chinese journal of pediatrics,,,,,,,,,,,,,dengineering
Schizophrenia Research,Hippocampus; HPA axis; Hyponatremia; Polydipsia; Stress; Vasopressin,,,,,,,,,,,,dengineering
Experimental Brain Research,Expectation; Posture; Sensory weight; Vibration,,,,,,,,,,,,dsocial science
Journal of Neurotrauma,Assessment tools; Cognitive function; Traumatic brain injury,,,,,,,,,,,,dsocial science
Cognition,Embodied cognition; Gestural knowledge; Object identification; Word identification,,,,,,,,,,,,d-lifescience
Pro-Fono,Child development; Congenital hypothyroidism; Evaluation; Language development,,,,,,,,,,,,dmedicine
Salud Mental,Attention and hyperactivity disorder; Comorbidity; Pediatric bipolar disorder,,,,,,,,,,,,dmedicine
Journal of Child Psychology and Psychiatry and Allied Disciplines,Autistic disorder; Cognition; Inner speech; Memory; Phonological processing; Visuo-spatial functioning,,,,,,,,,,,,dmedicine
Clinical Pediatrics,Attention.; Impulsivity; Intelligence; Prenatal drug exposure,,,,,,,,,,,,dmedicine
Journal of Experimental Psychology: Animal Behavior Processes,acquired equivalence; contingency learning; humans; verbal processes,,,,,,,,,,,,dengineering
British Journal of Sports Medicine,,,,,,,,,,,,,dengineering
Journal of Intellectual Disability Research,Cognition; Everyday functioning; Intellectual disabilities; Structural equation modeling,,,,,,,,,,,,dengineering
Animal Cognition,Food competition; Perspective taking; Social cognition,,,,,,,,,,,,dsocial science
International Journal of Neuroscience,Age and gender differences; Children; Longitudinal study; Neurobehavioral tests; Neuropsychological; Psychometric assessment,,,,,,,,,,,,dsocial science
Polish Journal of Radiology,Brain atrophy; Computed tomography; Dementive diseases; Fractal; Volumetry,,,,,,,,,,,,d-lifescience
Hormones and Behavior,Estrogen; Facial emotion recognition; Menstrual cycle; Progesterone; Social interaction,,,,,,,,,,,,dmedicine
Journal of Neurology,Cognitive performance; Homocysteine; Multiple sclerosis; Neuropsychology,,,,,,,,,,,,dmedicine
Neuroradiology,Aging; Hypertension; Reproducibility; T2 MRI; White matter hyperintensities,,,,,,,,,,,,dmedicine
Criminal Behaviour and Mental Health,,,,,,,,,,,,,dmedicine
Acta Medica Mediterranea,Adolescent rat; Learning performance; Neonatal handling; Perinatal 5-MT,,,,,,,,,,,,dengineering
Neuron,HUMDISEASE; MOLNEURO,,,,,,,,,,,,dengineering
U.S. Pharmacist,,,,,,,,,,,,,dengineering
Brain Research,Auditory; Exploratory data analysis; fMRI; Multifractal,,,,,,,,,,,,dsocial science
Journal of the Neurological Sciences,Charles Bonnet syndrome; Complex visual hallucinations; Elderly; Infarction; Occipital,,,,,,,,,,,,dsocial science
Journal of the Neurological Sciences,Alexia; Creutzfeldt-Jakob; SPECT,,,,,,,,,,,,d-lifescience
British Medical Journal,,,,,,,,,,,,,dmedicine
Journal of Cognition and Development,,,,,,,,,,,,,dmedicine
Brain Research,Chinese pseudo-character; Event-related brain potentials (ERPs); Visual mental imagery; Visual perception,,,,,,,,,,,,dmedicine
Brain Research,fMRI; Lateral prefrontal cortex; Working memory,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
"Creativity and Cognition 2007, CC2007 - Seeding Creativity: Tools, Media, and Environments",Collections; Creative cognition; Visual representations,,,,,,,,,,,,dengineering
"Creativity and Cognition 2007, CC2007 - Seeding Creativity: Tools, Media, and Environments",Art practice; Collaboration; Creativity; Digital tools; Empathy,,,,,,,,,,,,dengineering
Journal of Cognitive Psychotherapy,Anorexia; Bulimia; Core beliefs; Imagery; Schemas; Vomiting,,,,,,,,,,,,dsocial science
Neuron,HUMDISEASE; SYSNEURO,,,,,,,,,,,,dsocial science
Physiology and Behavior,Attentional resource; Dual task; Eye movement; Oculomotor performance; Saccade; Smooth pursuit,,,,,,,,,,,,d-lifescience
Brain Research,Configural processing; Gaze direction perception; Inversion; N170; P100,,,,,,,,,,,,dmedicine
Clinical Neurology and Neurosurgery,Cognitive impairment; Parkinson's disease; REM sleep behavior disorder; Visual hallucinations,,,,,,,,,,,,dmedicine
Spatial Cognition and Computation,Cardinal directions; Cognitive modeling; Visual short term memory,,,,,,,,,,,,dmedicine
Psychological Science,,,,,,,,,,,,,dmedicine
Chinese Journal of Biomedical Engineering,Brain source estimation; Cognition; Event-related potentials; Motion-in-depth; Visual motion perception,,,,,,,,,,,,dengineering
Brain Topography,Flicker; Memory task; Steady-state probe topography (SSPT); Steady-state visual evoked potential (SSVEP),,,,,,,,,,,,dengineering
Journal of Psychophysiology,Attention; Visual memory; Visual mismatch negativity,,,,,,,,,,,,dengineering
Brain and Cognition,Coherent motion; Deaf; Dorsal stream; Intelligence; IQ; Lateralization; MT; Right visual field advantage; Sign language,,,,,,,,,,,,dsocial science
Brain and Language,Case alternation; Categories; Exemplars; Functional hemispheric asymmetries; Visual word recognition,,,,,,,,,,,,dsocial science
NeuroReport,Audiovisual; Magnetoencephalography; Mismatch; Perception; Prediction; Striate and extrastriate areas,,,,,,,,,,,,d-lifescience
Schizophrenia Research,Disconnectivity; Integration; Multi-modality; Schizophrenia; Synchrony; Time,,,,,,,,,,,,dmedicine
Vision Research,Congruency; Context categorization; Fast categorization; Natural scenes; Object saliency; Object-context interactions; Parallel processing,,,,,,,,,,,,dmedicine
Trends in Amplification,Auditory-visual speech perception; Integration; Lexical neighborhood,,,,,,,,,,,,dmedicine
Theory and Psychology,Binding; Cognition; Consciousness; Diachronic object unity; Object representation; Tagging theories,,,,,,,,,,,,dmedicine
Kurume Medical Journal,Affective stimuli; Exploratory eye movements; Gender difference; Laterality; Visual cognition,,,,,,,,,,,,dengineering
Journal of Intellectual Disability Research,CANTAB; Down's syndrome; Memory skills; Visual-spatial processing,,,,,,,,,,,,dengineering
"Cognitive, Affective and Behavioral Neuroscience",,,,,,,,,,,,,dengineering
Behavioral Neuroscience,attention; basal ganglia; cognition; parietal cortex; visuospatial,,,,,,,,,,,,dsocial science
Cognition,Letter transpositions; Lexical access; Morphology; Visual word recognition,,,,,,,,,,,,dsocial science
Aviation Space and Environmental Medicine,Cockpit displays; Human performance; Multi-sensory; Tactile display; Tactile perception,,,,,,,,,,,,d-lifescience
Journal of Rehabilitation Research and Development,Brain concussion; Brain injuries; Hearing disorders; Needs assessment; Neuropsychology; Pain; Physical medicine; Posttraumatic; Rehabilitation; Stress disorders; Vision disorders,,,,,,,,,,,,dmedicine
International Journal of Psychophysiology,Action effect; Action selection; Cognitive mismatch; Event-related potentials; P300; Positive slow wave,,,,,,,,,,,,dmedicine
Interacting with Computers,Cognitive style; Interface design; Structural knowledge; Visual metaphor,,,,,,,,,,,,dmedicine
Psychological Assessment,dementia; guessing; item and test information; item response theory; premorbid intelligence,,,,,,,,,,,,dmedicine
Brain Topography,,,,,,,,,,,,,dengineering
Journal of Intellectual Disability Research,Down syndrome; Magnetoencephalography; Power spectrum,,,,,,,,,,,,dengineering
European Archives of Psychiatry and Clinical Neuroscience,Cognition; Coping; Depression; Multiple sclerosis; Neuropsychological tests,,,,,,,,,,,,dengineering
Journal of Nervous and Mental Disease,Attention; Cognition; Depersonalization; Dissociation; Memory,,,,,,,,,,,,dsocial science
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dsocial science
Social Cognitive and Affective Neuroscience,Bodies; Body selectivity; EBA; Emotion; FBA; Fusiform gyrus,,,,,,,,,,,,d-lifescience
Experimental and Clinical Psychopharmacology,alcohol; attention; intoxication; rehearsal; working memory,,,,,,,,,,,,dmedicine
Memory and Cognition,,,,,,,,,,,,,dmedicine
Library Hi Tech,Knowledge management; Perception; Visual media,,,,,,,,,,,,dmedicine
Human Brain Mapping,Attention; Cingulate cortex; Claustrum; Divided attention; fMRI; Inferior parietal cortex; Prefrontal cortex; Thalamus,,,,,,,,,,,,dmedicine
Psychonomic Bulletin and Review,,,,,,,,,,,,,dengineering
Journal of Computational Neuroscience,Cognitive flexibility; Neurodynamical model; PFC; Set shifting task; Visual attention; Wisconsin Card Sorting Test; Working memory,,,,,,,,,,,,dengineering
Journal of Neurophysiology,,,,,,,,,,,,,dengineering
Acta Psychiatrica Scandinavica,Bipolar disorder; Cognitive impairment; Psychotic symptoms; Schizoaffective disorder,,,,,,,,,,,,dsocial science
Annals of Thoracic Surgery,,,,,,,,,,,,,dsocial science
Quarterly Journal of Experimental Psychology,,,,,,,,,,,,,d-lifescience
British Journal of Sports Medicine,,,,,,,,,,,,,dmedicine
Behavioural Neurology,,,,,,,,,,,,,dmedicine
Biological Psychiatry,Antidepressant; erythropoietin; fear; fMRI; healthy volunteers,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Classical; Cognition; Contemporary; Event-related potential (ERP); Familiarity; Mozart; Music; N2; P3; Pre-attention; Preference,,,,,,,,,,,,dmedicine
Neuropsychiatric Disease and Treatment,Cognition; Dementia; Parkinson; Visual-spatial dysfunction,,,,,,,,,,,,dengineering
Irish Journal of Psychology,,,,,,,,,,,,,dengineering
Human Brain Mapping,EEG; fMRI; Gamma band; Reading,,,,,,,,,,,,dengineering
Behavioral and Brain Sciences,Access consciousness; Accessibility; Change blindness; Consciousness; Mind/body problem; NCC; Phenomenal consciousness; Refrigerator light illusion; Reportability; Unconscious; Vegetative state; Working memory,,,,,,,,,,,,dsocial science
 pp, Cambridge University Press; Macmillan,,,,,,,,,,,,dsocial science
Journal of Experimental Psychology: Human Perception and Performance,action planning; common representation; generalized magnitude system; numerical cognition; object grasping,,,,,,,,,,,,d-lifescience
Social Cognitive and Affective Neuroscience,Aging; Emotion; Faces; fMRI,,,,,,,,,,,,dmedicine
Memory and Cognition,,,,,,,,,,,,,dmedicine
Somatosensory and Motor Research,Electrical stimulation; Functional measurement; Heat; Integration; Pain; Psychophysics; Summation,,,,,,,,,,,,dmedicine
FASEB Journal,Brain development; Calcitrol; Cognition; Cytokine theory; Depression; Nutrition,,,,,,,,,,,,dmedicine
"Aviation, space, and environmental medicine",,,,,,,,,,,,,dengineering
European Neurology,Alzheimer's disease; Cognition; Mild dementia; Parkinson's disease dementia,,,,,,,,,,,,dengineering
Cerebral Cortex,Circadian rhythms; Functional magnetic resonance imaging; Human cognition; Light exposure; Melanopsin,,,,,,,,,,,,dengineering
AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,,,,,,,,,,,,,dsocial science
Schizophrenia Research,Inhibition of Return (IOR); Orienting of attention; Prodrome; Schizophrenia; Vulnerability,,,,,,,,,,,,dsocial science
Journal of Experimental Psychology: Applied,assessment; cognitive ability; computerized testing; validity; working memory,,,,,,,,,,,,d-lifescience
Journal of the American Geriatrics Society,Acute care; Hypothetical scenarios; Patient preferences; Urinary incontinence,,,,,,,,,,,,dmedicine
Acute Pain,Analgesia; Caesarean section; Morphine; Pain; Postoperative,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Consciousness; Fringe consciousness; Implicit learning; Individual differences; Personality; Sequence learning; Serial reaction time task,,,,,,,,,,,,dmedicine
Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakológiai Egyesület lapja = official journal of the Hungarian Association of Psychopharmacology,,,,,,,,,,,,,dmedicine
Experimental Brain Research,Manual pointing; Path integration; Perception/action; Spatial cognition,,,,,,,,,,,,dengineering
Mapfre Medicina,Amygdala; Hippocampus; Learning; Memory; Pottraumatic stress disorder,,,,,,,,,,,,dengineering
Psychiatry and Clinical Neurosciences,Cognitive deficits; Dissociative amnesia; Psychogenic anterograde amnesia,,,,,,,,,,,,dengineering
Cognition,Goals/dispositions; Infant cognition; Perception; Psychological reasoning,,,,,,,,,,,,dsocial science
Germanisch-Romanische Monatsschrift,,,,,,,,,,,,,dsocial science
Psychiatria Polska,Cognitive deficits; Course of illness; Schizophrenia,,,,,,,,,,,,d-lifescience
Memory and Cognition,,,,,,,,,,,,,dmedicine
Cerebral Cortex,Attention; Default mode of brain function; Emotion; Inferior medial prefrontal cortex; Perception; Stimulus duration,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,,,,,,,,,,,,,dmedicine
Cognitive Neuropsychology,Action recognition; Apraxia; Embodied cognition; Object recognition,,,,,,,,,,,,dmedicine
Memory and Cognition,,,,,,,,,,,,,dengineering
British Journal of Psychiatry,,,,,,,,,,,,,dengineering
Clinical Schizophrenia and Related Psychoses,Attention; Bipolar Disorder; Cognitive Functioning; Executive Functions; Memory; Schizophrenia,,,,,,,,,,,,dengineering
Journal of Experimental Child Psychology,Category learning; Cognitive development; Spatial cognition; Spatial memory,,,,,,,,,,,,dsocial science
Journal of Experimental Child Psychology,Attention (general); Cognition (general); Executive functions,,,,,,,,,,,,dsocial science
Psychology and Health,Attention; Health behavior; Health-risk perception; Optimism,,,,,,,,,,,,d-lifescience
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dmedicine
Language and Cognitive Processes,,,,,,,,,,,,,dmedicine
Journal of Psychophysiology,Attention; Auditory; Context; ERPs; MMN; Preattentive,,,,,,,,,,,,dmedicine
Dementia and Geriatric Cognitive Disorders,Cognition; Comorbidity; Dementia; Folate; Population-based; Vitamin B12,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,,,,,,,,,,,,,dengineering
"Cognitive, Affective and Behavioral Neuroscience",,,,,,,,,,,,,dengineering
